Timeslot,Period,,# of Div,C,J,M,B,S,Leader,LC
T11,16 Archery,,3,,,1,1,1,2,
T11,16 Soccer (Clark 1&2),,3,,,1,1,1,2,
T11,Arts CJ,,3,1,1,1,,,1,1
T11,Basketball C (Jr. Courts),,1,1,,,,,1,
T11,Basketball MBS (Pavilion),,3,,,1,1,1,1,1
T11,Crafts CJ,,2,1,1,,,,1,1
T11,Fish JMBS,,4,,1,1,1,1,2,1
T11,Football CJM (Messer),,3,1,1,1,,,1,1
T11,Kickball CJ (Cadet Field),,2,1,1,,,,1,1
T11,Minnow JMBS,,4,,1,1,1,1,2,
T11,Riflery S,,1,,,,,1,2,
T11,Ropes CJ,,2,1,1,,,,2,
T11,Sailing MBS,,3,,,1,1,1,2,3
T11,Street Hockey CJ (Jr. Courts),,2,1,1,,,,1,1
T11,Studio Art MB,,2,,,1,1,,1,
T11,Tennis MBS (Sr. Courts),,3,,,1,1,1,1,1
T11,Tower C,,1,1,,,,,2,
T11,Volleyball BS (Cadet Beach),,2,,,,1,1,2,
T11,Waterskiing J,,1,,1,,,,2,1
T11,Nature M ,,1,,,1,,,1,
T12,12 Baseball (Messer Field),,3,1,1,1,,,2,
T12,16 Riflery,,3,,,1,1,1,2,
T12,Archery C,,1,1,,,,,2,
T12,Crafts MBS,,3,,,1,1,1,2,1
T12,Crosstraining S,,1,,,,,1,1,
T12,FF/S CJMBS,,5,1,1,1,1,1,2,1
T12,Fish JMBS,,4,,1,1,1,1,2,2
T12,Lacrosse BS (Clark 3),,2,,,,1,1,1,1
T12,Nature CJ,,2,1,1,,,,1,1
T12,Pickleball CJ (Besserer Courts),,2,1,1,,,,1,1
T12,Woodworking CJ,,2,1,1,,,,1,
T12,Ropes BS,,2,,,,1,1,2,
T12,Sailing CJM,,3,1,1,1,,,2,2
T12,Soccer CJM (Clark 1&2),,3,1,1,1,,,2,1
T12,Street Hockey BS (Sr. Courts),,2,,,,1,1,1,1
T12,Tower B,,1,,,,1,,2,
T12,Ultimate MBS (Clark 4),,3,,,1,1,1,1,1
T12,Volleyball CJM (Cadet Beach),,3,1,1,1,,,2,1
T12,Waterskiing M,,1,,,1,,,2,
T13,12 Tennis (Besserer Court),,3,1,1,1,,,2,
T13,16 Basketball (Pavilion),,3,,,1,1,1,2,
T13,16 Tennis (Sr. Court),,3,,,1,1,1,2,
T13,Archery M,,1,,,1,,,2,
T13,Arts BS,,2,,,,1,1,1,1
T13,Baseball MBS (Clark 4),,3,,,1,1,1,1,1
T13,Basketball CJ (Jr. Courts),,2,1,1,,,,1,1
T13,Bizou Ball CJ (Clark 1&2),,2,1,1,,,,1,1
T13,Crosstraining B,,1,,,,1,,1,
T13,Fish C,,1,1,,,,,1,1
T13,Kickball MBS (Messer Field),,3,,,1,1,1,1,1
T13,Lacrosse CJM (Clark 3),,3,1,1,1,,,1,1
T13,Minnow C,,1,1,,,,,2,1
T13,Paddle Sports CJ,,2,1,1,,,,2,
T13,Pollywog/Guppy CJMBS,,5,1,1,1,1,1,2,
T13,Ropes JM,,2,,1,1,,,1,1
T13,Sailing BS,,2,,,,1,1,2,2
T13,Nature JM,,2,,1,1,,,1,1
T13,Tower M,,1,,,1,,,2,
T13,Waterskiing C,,1,1,,,,,1,1
T13,Woodworking BS,,2,,,,1,1,1,
T13,Studio Art S ,,1,,,,,1,1,
T13,RIflery J,,,,1,,,,2,
H11,12 & 16 Swim Team,,5,1,1,1,1,1,2,
H11,Archery S,,1,,,,,1,2,
H11,Arts MBS,,3,,,1,1,1,1,1
H11,Basketball BS (Pavilion) ,,2,,,,1,1,1,1
H11,FF/S CJMBS,,5,1,1,1,1,1,2,2
H11,Kickball CJ (Cadet Field),,2,1,1,,,,2,1
H11,Nature CJ,,2,1,1,,,,1,1
H11,Paddle Sports MBS,,3,,,1,1,1,2,1
H11,Pickleball MBS (Sr. Courts),,3,,,1,1,1,1,2
H11,Riflery B,,1,,,,1,,2,
H11,Sailing CJ,,2,1,1,,,,3,2
H11,Street Hockey MBS (Sr. Courts),,3,,,1,1,1,1,1
H11,Tennis Baseball CJM (Messer),,3,1,1,1,,,2,2
H11,Tower S,,1,,,,,1,2,
H11,Volleyball CJM (Cadet Beach) ,,3,1,1,1,,,2,1
H11,Waterskiing B,,1,,,,1,,2,
H11,Woodworking CJM,,3,1,1,1,,,1,1
H11,Basketball CJ (Jr. Courts),,2,1,1,,,,1,
H12,12 Archery,,3,1,1,1,,,2,
H12,12 Basketball (Pavilion),,3,1,1,1,,,2,
H12,16 Volleyball (Cadet Beach),,3,,,1,1,1,2,
H12,Crafts MBS,,3,,,1,1,1,1,2
H12,Baseball MBS (Clark 4),,3,,,1,1,1,1,1
H12,Crosstraining S,,1,,,,,1,1,
H12,Fish JMBS,,4,,1,1,1,1,2,2
H12,Football BS (Messer),,2,,,,1,1,1,1
H12,Ultimate CJM (Clark 3),,3,1,1,1,,,1,2
H12,Minnow JMBS,,4,,1,1,1,1,2,2
H12,Paddle Sports CJ,,2,1,1,,,,2,1
H12,Riflery C,,1,1,,,,,2,
H12,Ropes MB,,2,,,1,1,,1,1
H12,Sailing MBS,,3,,,1,1,1,2,2
H12,Soccer CJ (Clark 1&2),,2,1,1,,,,2,1
H12,Studio Art CJ,,2,1,1,,,,1,
H12,Tennis CJ (Jr. Courts),,2,1,1,,,,1,1
H12,Tower B,,1,,,,1,,2,
